,_id,count
0,Thanet,1130
1,Greenwich,882
2,Maidstone,713
3,Newham,711
4,Swale,686
5,Chelmsford,680
6,Medway,672
7,Bexley,607
8,Southend-On-Sea,586
9,Tendring,542
10,Colchester,498
11,Tunbridge Wells,491
12,Folkestone and Hythe,480
13,Eastbourne,478
14,Hastings,464
15,Bromley,460
16,Ashford,427
17,Havering,397
18,Dartford,383
19,Braintree,382
20,Basildon,362
21,Gravesham,339
22,Tonbridge and Malling,325
23,Thurrock,313
24,Barking and Dagenham,301
25,Canterbury City,298
26,Brentwood,285
27,Castle Point,281
28,Harlow,274
29,Uttlesford,251
30,Lewes,250
31,Sevenoaks,223
32,Maldon,197
33,East Hertfordshire,189
34,Rochford,187
35,Redbridge,182
36,Epping Forest,180
37,East Suffolk,159
38,Waltham Forest,110
39,Babergh,97
40,Wealden,93
41,Rother,80
42,Lewisham,65
43,Tandridge,42
44,City of London Corporation,28
45,Ipswich,21
46,Tower Hamlets,9
47,North Hertfordshire,6
48,Mid Sussex,5
49,Sunderland,1
50,Reading,1
51,Dorset,1
52,North Norfolk,1
53,Kensington and Chelsea,1
54,Broxbourne,1
